"Select Project","Select Project"
"Select an option","Select Project"
"Select Compensation","Select Compensation"
"Our Terms and conditions","Our Terms and conditions"
"Save","Save"
"Fee","Compensation"
"Select Fee","Select a compensation"
"was added to your order total","was added to your order total"
"Fee was successfully deleted.","Compensation was successfully deleted."
"Fee was successfully applied.","Compensation was successfully applied."
"Fee Tax","Compensation Tax"
"Fee (Tax Incl.)","Compensation (Tax Incl.)"
